,Above the Break 3,Assists,Corner 3,Exp_Pts_Per_Past,GP,In The Paint \(Non-RA\),Mid-Range,Player,Restricted Area,Year,3_pct,Mid,Points_Created,PPG,PLAYER_NAME,POTENTIAL_AST,Pts_Per_Past,Diff,Ast_pct
37,0.24,189,0.07,1.1025,23,0.12,0.11,Rajon Rondo,0.46,2017-18,0.31,0.22999999999999998,436.59,18.98217391304348,Rajon Rondo,280,1.5592499999999998,0.45674999999999977,0.675
0,0.31,197,0.11,1.096,38,0.08,0.13,Al Horford,0.37,2017-18,0.42,0.21000000000000002,476.74,12.545789473684211,Al Horford,317,1.5039116719242902,0.4079116719242901,0.6214511041009464
41,0.28,242,0.12,1.0878,37,0.14,0.07,Spencer Dinwiddie,0.38,2017-18,0.4,0.21000000000000002,580.8,15.697297297297297,Spencer Dinwiddie,420,1.3828571428571428,0.2950571428571427,0.5761904761904761
26,0.27,174,0.09,1.114,33,0.1,0.09,Kevin Durant,0.45,2017-18,0.36,0.19,410.64,12.443636363636363,Kevin Durant,293,1.4015017064846416,0.28750170648464146,0.5938566552901023
30,0.29,193,0.13,1.0798999999999999,38,0.09,0.16,Kyrie Irving,0.33,2017-18,0.42,0.25,467.06000000000006,12.29105263157895,Kyrie Irving,344,1.357732558139535,0.2778325581395351,0.561046511627907
11,0.21,242,0.06,1.0551000000000001,32,0.1,0.22,Draymond Green,0.4,2017-18,0.27,0.32,549.34,17.166875,Draymond Green,413,1.3301210653753028,0.2750210653753027,0.585956416464891
2,0.34,116,0.1,1.0701,22,0.11,0.09,Blake Griffin,0.34,2017-18,0.44000000000000006,0.2,283.03999999999996,12.865454545454543,Blake Griffin,211,1.3414218009478671,0.27132180094786706,0.5497630331753555
14,0.32,159,0.19,1.1068,34,0.09,0.08,Giannis Antetokounmpo,0.32,2017-18,0.51,0.16999999999999998,399.09000000000003,11.737941176470589,Giannis Antetokounmpo,295,1.3528474576271188,0.24604745762711877,0.5389830508474577
3,0.27,156,0.09,1.1077,36,0.15,0.08,Caris LeVert,0.42,2017-18,0.36,0.22999999999999998,368.15999999999997,10.226666666666667,Caris LeVert,272,1.3535294117647059,0.24582941176470596,0.5735294117647058
42,0.29,162,0.05,1.1305999999999998,25,0.06,0.12,Stephen Curry,0.49,2017-18,0.33999999999999997,0.18,379.08000000000004,15.163200000000002,Stephen Curry,278,1.3635971223021583,0.23299712230215852,0.5827338129496403
