,minute,pindex,player,score,value
0,1,2,Karl-Anthony Towns,,32
1,2,2,Karl-Anthony Towns,,32
2,3,2,Karl-Anthony Towns,,32
3,4,2,Karl-Anthony Towns,,32
4,5,2,Karl-Anthony Towns,,31
5,6,2,Karl-Anthony Towns,,31
6,7,2,Karl-Anthony Towns,,29
7,8,2,Karl-Anthony Towns,,18
8,9,2,Karl-Anthony Towns,,13
9,10,2,Karl-Anthony Towns,,2
10,11,2,Karl-Anthony Towns,,2
11,12,2,Karl-Anthony Towns,,2
12,13,2,Karl-Anthony Towns,,14
13,14,2,Karl-Anthony Towns,,14
14,15,2,Karl-Anthony Towns,,16
15,16,2,Karl-Anthony Towns,,22
16,17,2,Karl-Anthony Towns,,25
17,18,2,Karl-Anthony Towns,,28
18,19,2,Karl-Anthony Towns,,28
19,20,2,Karl-Anthony Towns,,28
20,21,2,Karl-Anthony Towns,,28
21,22,2,Karl-Anthony Towns,,27
22,23,2,Karl-Anthony Towns,,26
23,24,2,Karl-Anthony Towns,,26
24,25,2,Karl-Anthony Towns,,32
25,26,2,Karl-Anthony Towns,,31
26,27,2,Karl-Anthony Towns,,31
27,28,2,Karl-Anthony Towns,,31
28,29,2,Karl-Anthony Towns,,30
29,30,2,Karl-Anthony Towns,,29
30,31,2,Karl-Anthony Towns,,28
31,32,2,Karl-Anthony Towns,,25
32,33,2,Karl-Anthony Towns,,12
33,34,2,Karl-Anthony Towns,,5
34,35,2,Karl-Anthony Towns,,1
35,36,2,Karl-Anthony Towns,,1
36,37,2,Karl-Anthony Towns,,20
37,38,2,Karl-Anthony Towns,,21
38,39,2,Karl-Anthony Towns,,23
39,40,2,Karl-Anthony Towns,,27
40,41,2,Karl-Anthony Towns,,28
41,42,2,Karl-Anthony Towns,,30
42,43,2,Karl-Anthony Towns,,30
43,44,2,Karl-Anthony Towns,,29
44,45,2,Karl-Anthony Towns,,29
45,46,2,Karl-Anthony Towns,,24
46,47,2,Karl-Anthony Towns,,23
47,48,2,Karl-Anthony Towns,,22
48,1,5,Jeff Teague,,28
49,2,5,Jeff Teague,,28
50,3,5,Jeff Teague,,28
51,4,5,Jeff Teague,,28
52,5,5,Jeff Teague,,28
53,6,5,Jeff Teague,,28
54,7,5,Jeff Teague,,28
55,8,5,Jeff Teague,,27
56,9,5,Jeff Teague,,24
57,10,5,Jeff Teague,,18
58,11,5,Jeff Teague,,7
59,12,5,Jeff Teague,,6
60,13,5,Jeff Teague,,0
61,14,5,Jeff Teague,,0
62,15,5,Jeff Teague,,0
63,16,5,Jeff Teague,,5
64,17,5,Jeff Teague,,8
65,18,5,Jeff Teague,,14
66,19,5,Jeff Teague,,24
67,20,5,Jeff Teague,,27
68,21,5,Jeff Teague,,28
69,22,5,Jeff Teague,,28
70,23,5,Jeff Teague,,28
71,24,5,Jeff Teague,,26
72,25,5,Jeff Teague,,28
73,26,5,Jeff Teague,,28
