,minute,player,value,pindex
0,1,Rajon Rondo,540,4
1,2,Rajon Rondo,540,4
2,3,Rajon Rondo,540,4
3,4,Rajon Rondo,540,4
4,5,Rajon Rondo,539,4
5,6,Rajon Rondo,480,4
6,7,Rajon Rondo,395,4
7,8,Rajon Rondo,124,4
8,9,Rajon Rondo,118,4
9,10,Rajon Rondo,82,4
10,11,Rajon Rondo,222,4
11,12,Rajon Rondo,265,4
12,13,Rajon Rondo,240,4
13,14,Rajon Rondo,227,4
14,15,Rajon Rondo,193,4
15,16,Rajon Rondo,270,4
16,17,Rajon Rondo,279,4
17,18,Rajon Rondo,231,4
18,19,Rajon Rondo,251,4
19,20,Rajon Rondo,341,4
20,21,Rajon Rondo,365,4
21,22,Rajon Rondo,402,4
22,23,Rajon Rondo,366,4
23,24,Rajon Rondo,420,4
24,25,Rajon Rondo,480,4
25,26,Rajon Rondo,480,4
26,27,Rajon Rondo,480,4
27,28,Rajon Rondo,480,4
28,29,Rajon Rondo,480,4
29,30,Rajon Rondo,387,4
30,31,Rajon Rondo,153,4
31,32,Rajon Rondo,60,4
32,33,Rajon Rondo,43,4
33,34,Rajon Rondo,184,4
34,35,Rajon Rondo,253,4
35,36,Rajon Rondo,372,4
36,37,Rajon Rondo,480,4
37,38,Rajon Rondo,480,4
38,39,Rajon Rondo,480,4
39,40,Rajon Rondo,444,4
40,41,Rajon Rondo,370,4
41,42,Rajon Rondo,206,4
42,43,Rajon Rondo,236,4
43,44,Rajon Rondo,240,4
44,45,Rajon Rondo,234,4
45,46,Rajon Rondo,243,4
46,47,Rajon Rondo,240,4
47,48,Rajon Rondo,195,4
48,1,Emeka Okafor,420,5
49,2,Emeka Okafor,420,5
50,3,Emeka Okafor,420,5
51,4,Emeka Okafor,420,5
52,5,Emeka Okafor,373,5
53,6,Emeka Okafor,360,5
54,7,Emeka Okafor,203,5
55,8,Emeka Okafor,0,5
56,9,Emeka Okafor,0,5
57,10,Emeka Okafor,0,5
58,11,Emeka Okafor,0,5
59,12,Emeka Okafor,0,5
60,13,Emeka Okafor,0,5
61,14,Emeka Okafor,0,5
62,15,Emeka Okafor,0,5
63,16,Emeka Okafor,0,5
64,17,Emeka Okafor,37,5
65,18,Emeka Okafor,139,5
66,19,Emeka Okafor,180,5
67,20,Emeka Okafor,180,5
68,21,Emeka Okafor,117,5
69,22,Emeka Okafor,60,5
70,23,Emeka Okafor,60,5
71,24,Emeka Okafor,60,5
72,25,Emeka Okafor,360,5
73,26,Emeka Okafor,360,5
74,27,Emeka Okafor,337,5
75,28,Emeka Okafor,300,5
76,29,Emeka Okafor,300,5
77,30,Emeka Okafor,174,5
78,31,Emeka Okafor,76,5
79,32,Emeka Okafor,120,5
80,33,Emeka Okafor,120,5
81,34,Emeka Okafor,120,5
82,35,Emeka Okafor,76,5
83,36,Emeka Okafor,60,5
84,37,Emeka Okafor,60,5
85,38,Emeka Okafor,110,5
86,39,Emeka Okafor,129,5
87,40,Emeka Okafor,70,5
88,41,Emeka Okafor,60,5
89,42,Emeka Okafor,31,5
90,43,Emeka Okafor,0,5
91,44,Emeka Okafor,0,5
92,45,Emeka Okafor,60,5
93,46,Emeka Okafor,84,5
94,47,Emeka Okafor,120,5
95,48,Emeka Okafor,118,5
96,1,E'Twaun Moore,540,3
97,2,E'Twaun Moore,540,3
98,3,E'Twaun Moore,540,3
99,4,E'Twaun Moore,540,3
100,5,E'Twaun Moore,539,3
101,6,E'Twaun Moore,480,3
102,7,E'Twaun Moore,459,3
103,8,E'Twaun Moore,400,3
104,9,E'Twaun Moore,325,3
105,10,E'Twaun Moore,86,3
106,11,E'Twaun Moore,70,3
107,12,E'Twaun Moore,60,3
108,13,E'Twaun Moore,60,3
109,14,E'Twaun Moore,60,3
110,15,E'Twaun Moore,103,3
111,16,E'Twaun Moore,118,3
112,17,E'Twaun Moore,174,3
113,18,E'Twaun Moore,284,3
114,19,E'Twaun Moore,454,3
115,20,E'Twaun Moore,480,3
116,21,E'Twaun Moore,480,3
117,22,E'Twaun Moore,439,3
118,23,E'Twaun Moore,467,3
119,24,E'Twaun Moore,460,3
120,25,E'Twaun Moore,540,3
121,26,E'Twaun Moore,540,3
122,27,E'Twaun Moore,540,3
123,28,E'Twaun Moore,540,3
124,29,E'Twaun Moore,522,3
125,30,E'Twaun Moore,480,3
126,31,E'Twaun Moore,419,3
127,32,E'Twaun Moore,280,3
128,33,E'Twaun Moore,240,3
129,34,E'Twaun Moore,240,3
130,35,E'Twaun Moore,240,3
131,36,E'Twaun Moore,144,3
132,37,E'Twaun Moore,120,3
133,38,E'Twaun Moore,149,3
134,39,E'Twaun Moore,268,3
135,40,E'Twaun Moore,300,3
136,41,E'Twaun Moore,300,3
137,42,E'Twaun Moore,329,3
138,43,E'Twaun Moore,304,3
139,44,E'Twaun Moore,300,3
140,45,E'Twaun Moore,339,3
141,46,E'Twaun Moore,277,3
142,47,E'Twaun Moore,240,3
143,48,E'Twaun Moore,236,3
144,1,Jrue Holiday,540,2
145,2,Jrue Holiday,540,2
146,3,Jrue Holiday,540,2
147,4,Jrue Holiday,540,2
148,5,Jrue Holiday,540,2
149,6,Jrue Holiday,540,2
150,7,Jrue Holiday,512,2
151,8,Jrue Holiday,480,2
152,9,Jrue Holiday,480,2
153,10,Jrue Holiday,405,2
154,11,Jrue Holiday,138,2
155,12,Jrue Holiday,4,2
156,13,Jrue Holiday,60,2
157,14,Jrue Holiday,84,2
158,15,Jrue Holiday,120,2
159,16,Jrue Holiday,142,2
160,17,Jrue Holiday,198,2
161,18,Jrue Holiday,336,2
162,19,Jrue Holiday,420,2
163,20,Jrue Holiday,498,2
