,minute,player,value,pindex
0,1,Robert Covington,4620,2
1,2,Robert Covington,4620,2
2,3,Robert Covington,4620,2
3,4,Robert Covington,4563,2
4,5,Robert Covington,4122,2
5,6,Robert Covington,3522,2
6,7,Robert Covington,3125,2
7,8,Robert Covington,2363,2
8,9,Robert Covington,1377,2
9,10,Robert Covington,1040,2
10,11,Robert Covington,996,2
11,12,Robert Covington,1070,2
12,13,Robert Covington,2220,2
13,14,Robert Covington,2390,2
14,15,Robert Covington,2886,2
15,16,Robert Covington,3544,2
16,17,Robert Covington,4048,2
17,18,Robert Covington,4121,2
18,19,Robert Covington,3928,2
19,20,Robert Covington,3755,2
20,21,Robert Covington,2996,2
21,22,Robert Covington,2614,2
22,23,Robert Covington,2323,2
23,24,Robert Covington,2109,2
24,25,Robert Covington,4620,2
25,26,Robert Covington,4564,2
26,27,Robert Covington,4556,2
27,28,Robert Covington,4476,2
28,29,Robert Covington,4038,2
29,30,Robert Covington,3643,2
30,31,Robert Covington,3204,2
31,32,Robert Covington,2413,2
32,33,Robert Covington,1743,2
33,34,Robert Covington,1439,2
34,35,Robert Covington,1286,2
35,36,Robert Covington,1280,2
36,37,Robert Covington,2220,2
37,38,Robert Covington,2249,2
38,39,Robert Covington,2538,2
39,40,Robert Covington,3029,2
40,41,Robert Covington,3313,2
41,42,Robert Covington,3201,2
42,43,Robert Covington,3116,2
43,44,Robert Covington,3307,2
44,45,Robert Covington,3323,2
45,46,Robert Covington,3089,2
46,47,Robert Covington,2851,2
47,48,Robert Covington,2511,2
48,1,JJ Redick,4080,4
49,2,JJ Redick,4080,4
50,3,JJ Redick,4080,4
51,4,JJ Redick,3965,4
52,5,JJ Redick,2543,4
53,6,JJ Redick,818,4
54,7,JJ Redick,451,4
55,8,JJ Redick,634,4
56,9,JJ Redick,1922,4
57,10,JJ Redick,3016,4
58,11,JJ Redick,3429,4
59,12,JJ Redick,3480,4
60,13,JJ Redick,3240,4
61,14,JJ Redick,3133,4
62,15,JJ Redick,2559,4
63,16,JJ Redick,1541,4
64,17,JJ Redick,1052,4
65,18,JJ Redick,1059,4
66,19,JJ Redick,1370,4
67,20,JJ Redick,1948,4
68,21,JJ Redick,2854,4
69,22,JJ Redick,3514,4
70,23,JJ Redick,3570,4
71,24,JJ Redick,3383,4
72,25,JJ Redick,4080,4
73,26,JJ Redick,4080,4
74,27,JJ Redick,4080,4
75,28,JJ Redick,3987,4
76,29,JJ Redick,2790,4
77,30,JJ Redick,1222,4
78,31,JJ Redick,596,4
79,32,JJ Redick,692,4
80,33,JJ Redick,1664,4
81,34,JJ Redick,2471,4
82,35,JJ Redick,2827,4
83,36,JJ Redick,2976,4
84,37,JJ Redick,2760,4
85,38,JJ Redick,2709,4
86,39,JJ Redick,2464,4
87,40,JJ Redick,1683,4
88,41,JJ Redick,1308,4
89,42,JJ Redick,1829,4
90,43,JJ Redick,2383,4
91,44,JJ Redick,2796,4
92,45,JJ Redick,2948,4
93,46,JJ Redick,2819,4
94,47,JJ Redick,2603,4
95,48,JJ Redick,2429,4
96,1,Amir Johnson,900,7
97,2,Amir Johnson,900,7
98,3,Amir Johnson,900,7
99,4,Amir Johnson,919,7
100,5,Amir Johnson,1306,7
101,6,Amir Johnson,2554,7
102,7,Amir Johnson,3237,7
103,8,Amir Johnson,3262,7
104,9,Amir Johnson,2181,7
105,10,Amir Johnson,964,7
106,11,Amir Johnson,394,7
107,12,Amir Johnson,472,7
108,13,Amir Johnson,720,7
109,14,Amir Johnson,837,7
110,15,Amir Johnson,1112,7
111,16,Amir Johnson,1899,7
112,17,Amir Johnson,2758,7
113,18,Amir Johnson,3225,7
114,19,Amir Johnson,3008,7
115,20,Amir Johnson,2230,7
116,21,Amir Johnson,1404,7
117,22,Amir Johnson,733,7
118,23,Amir Johnson,681,7
119,24,Amir Johnson,831,7
120,25,Amir Johnson,818,7
121,26,Amir Johnson,840,7
122,27,Amir Johnson,888,7
123,28,Amir Johnson,1003,7
124,29,Amir Johnson,1571,7
125,30,Amir Johnson,2678,7
126,31,Amir Johnson,2985,7
127,32,Amir Johnson,2917,7
128,33,Amir Johnson,1778,7
129,34,Amir Johnson,833,7
130,35,Amir Johnson,537,7
131,36,Amir Johnson,531,7
132,37,Amir Johnson,840,7
133,38,Amir Johnson,1030,7
134,39,Amir Johnson,1362,7
135,40,Amir Johnson,1905,7
136,41,Amir Johnson,2343,7
137,42,Amir Johnson,1871,7
138,43,Amir Johnson,929,7
139,44,Amir Johnson,346,7
140,45,Amir Johnson,269,7
141,46,Amir Johnson,221,7
142,47,Amir Johnson,414,7
143,48,Amir Johnson,447,7
144,1,Dario Saric,4200,3
145,2,Dario Saric,4200,3
146,3,Dario Saric,4200,3
147,4,Dario Saric,4132,3
148,5,Dario Saric,3680,3
149,6,Dario Saric,3186,3
150,7,Dario Saric,2893,3
151,8,Dario Saric,2435,3
152,9,Dario Saric,1648,3
153,10,Dario Saric,1289,3
154,11,Dario Saric,1461,3
155,12,Dario Saric,1384,3
156,13,Dario Saric,2003,3
157,14,Dario Saric,2109,3
158,15,Dario Saric,2249,3
159,16,Dario Saric,2821,3
160,17,Dario Saric,2971,3
161,18,Dario Saric,3200,3
162,19,Dario Saric,3430,3
163,20,Dario Saric,3495,3
164,21,Dario Saric,3258,3
165,22,Dario Saric,2975,3
166,23,Dario Saric,2748,3
167,24,Dario Saric,2588,3
168,25,Dario Saric,4320,3
169,26,Dario Saric,4320,3
170,27,Dario Saric,4305,3
171,28,Dario Saric,4171,3
172,29,Dario Saric,3760,3
173,30,Dario Saric,3160,3
174,31,Dario Saric,2748,3
175,32,Dario Saric,2360,3
176,33,Dario Saric,1865,3
177,34,Dario Saric,1784,3
178,35,Dario Saric,1737,3
179,36,Dario Saric,1686,3
180,37,Dario Saric,1579,3
181,38,Dario Saric,1549,3
182,39,Dario Saric,1644,3
183,40,Dario Saric,2190,3
184,41,Dario Saric,2774,3
185,42,Dario Saric,3055,3
186,43,Dario Saric,3179,3
187,44,Dario Saric,3163,3
188,45,Dario Saric,2966,3
189,46,Dario Saric,2695,3
190,47,Dario Saric,2387,3
191,48,Dario Saric,2080,3
192,1,Ben Simmons,4680,1
193,2,Ben Simmons,4680,1
194,3,Ben Simmons,4680,1
195,4,Ben Simmons,4680,1
196,5,Ben Simmons,4680,1
197,6,Ben Simmons,4599,1
198,7,Ben Simmons,4350,1
199,8,Ben Simmons,3707,1
200,9,Ben Simmons,1758,1
201,10,Ben Simmons,785,1
202,11,Ben Simmons,578,1
203,12,Ben Simmons,611,1
204,13,Ben Simmons,1320,1
205,14,Ben Simmons,1325,1
206,15,Ben Simmons,1925,1
207,16,Ben Simmons,3491,1
208,17,Ben Simmons,4146,1
209,18,Ben Simmons,4095,1
210,19,Ben Simmons,3776,1
211,20,Ben Simmons,3514,1
212,21,Ben Simmons,3778,1
213,22,Ben Simmons,4063,1
214,23,Ben Simmons,4138,1
215,24,Ben Simmons,4032,1
216,25,Ben Simmons,4680,1
217,26,Ben Simmons,4637,1
218,27,Ben Simmons,4620,1
219,28,Ben Simmons,4567,1
220,29,Ben Simmons,4515,1
221,30,Ben Simmons,4408,1
222,31,Ben Simmons,4178,1
223,32,Ben Simmons,3731,1
224,33,Ben Simmons,2305,1
225,34,Ben Simmons,1458,1
226,35,Ben Simmons,1192,1
227,36,Ben Simmons,1078,1
228,37,Ben Simmons,1320,1
229,38,Ben Simmons,1375,1
230,39,Ben Simmons,1766,1
231,40,Ben Simmons,3153,1
232,41,Ben Simmons,3881,1
233,42,Ben Simmons,4099,1
234,43,Ben Simmons,3967,1
