,minute,player,value,pindex
0,1,DeMarcus Cousins,3,2
1,2,DeMarcus Cousins,3,2
2,3,DeMarcus Cousins,3,2
3,4,DeMarcus Cousins,3,2
4,5,DeMarcus Cousins,3,2
5,6,DeMarcus Cousins,3,2
6,7,DeMarcus Cousins,2,2
7,8,DeMarcus Cousins,2,2
8,9,DeMarcus Cousins,1,2
9,10,DeMarcus Cousins,1,2
10,11,DeMarcus Cousins,1,2
11,12,DeMarcus Cousins,2,2
12,13,DeMarcus Cousins,3,2
13,14,DeMarcus Cousins,3,2
14,15,DeMarcus Cousins,3,2
15,16,DeMarcus Cousins,3,2
16,17,DeMarcus Cousins,1,2
17,18,DeMarcus Cousins,1,2
18,19,DeMarcus Cousins,2,2
19,20,DeMarcus Cousins,2,2
20,21,DeMarcus Cousins,3,2
21,22,DeMarcus Cousins,3,2
22,23,DeMarcus Cousins,2,2
23,24,DeMarcus Cousins,2,2
24,25,DeMarcus Cousins,3,2
25,26,DeMarcus Cousins,3,2
26,27,DeMarcus Cousins,3,2
27,28,DeMarcus Cousins,3,2
28,29,DeMarcus Cousins,3,2
29,30,DeMarcus Cousins,3,2
30,31,DeMarcus Cousins,3,2
31,32,DeMarcus Cousins,3,2
32,33,DeMarcus Cousins,2,2
33,34,DeMarcus Cousins,2,2
34,35,DeMarcus Cousins,1,2
35,36,DeMarcus Cousins,0,2
36,37,DeMarcus Cousins,1,2
37,38,DeMarcus Cousins,1,2
38,39,DeMarcus Cousins,1,2
39,40,DeMarcus Cousins,2,2
40,41,DeMarcus Cousins,3,2
41,42,DeMarcus Cousins,2,2
42,43,DeMarcus Cousins,2,2
43,44,DeMarcus Cousins,2,2
44,45,DeMarcus Cousins,3,2
45,46,DeMarcus Cousins,3,2
46,47,DeMarcus Cousins,3,2
47,48,DeMarcus Cousins,4,2
48,1,Rajon Rondo,3,6
49,2,Rajon Rondo,3,6
50,3,Rajon Rondo,3,6
51,4,Rajon Rondo,3,6
52,5,Rajon Rondo,3,6
53,6,Rajon Rondo,3,6
54,7,Rajon Rondo,3,6
55,8,Rajon Rondo,2,6
56,9,Rajon Rondo,1,6
57,10,Rajon Rondo,1,6
58,11,Rajon Rondo,1,6
59,12,Rajon Rondo,0,6
60,13,Rajon Rondo,0,6
61,14,Rajon Rondo,0,6
62,15,Rajon Rondo,0,6
63,16,Rajon Rondo,0,6
