,minute,player,value,pindex
0,1,Jrue Holiday,1,2
1,2,Jrue Holiday,1,2
2,3,Jrue Holiday,1,2
3,4,Jrue Holiday,1,2
4,5,Jrue Holiday,1,2
5,6,Jrue Holiday,0,2
6,7,Jrue Holiday,0,2
7,8,Jrue Holiday,0,2
8,9,Jrue Holiday,0,2
9,10,Jrue Holiday,0,2
10,11,Jrue Holiday,1,2
11,12,Jrue Holiday,1,2
12,13,Jrue Holiday,1,2
13,14,Jrue Holiday,1,2
14,15,Jrue Holiday,1,2
15,16,Jrue Holiday,1,2
16,17,Jrue Holiday,1,2
17,18,Jrue Holiday,0,2
18,19,Jrue Holiday,0,2
19,20,Jrue Holiday,0,2
20,21,Jrue Holiday,0,2
21,22,Jrue Holiday,1,2
22,23,Jrue Holiday,1,2
23,24,Jrue Holiday,1,2
24,25,Jrue Holiday,1,2
25,26,Jrue Holiday,1,2
26,27,Jrue Holiday,1,2
27,28,Jrue Holiday,1,2
28,29,Jrue Holiday,1,2
29,30,Jrue Holiday,1,2
30,31,Jrue Holiday,0,2
31,32,Jrue Holiday,0,2
32,33,Jrue Holiday,0,2
33,34,Jrue Holiday,1,2
34,35,Jrue Holiday,1,2
35,36,Jrue Holiday,1,2
36,37,Jrue Holiday,1,2
37,38,Jrue Holiday,1,2
38,39,Jrue Holiday,1,2
39,40,Jrue Holiday,1,2
40,41,Jrue Holiday,1,2
41,42,Jrue Holiday,1,2
42,43,Jrue Holiday,1,2
43,44,Jrue Holiday,1,2
44,45,Jrue Holiday,1,2
45,46,Jrue Holiday,1,2
46,47,Jrue Holiday,1,2
47,48,Jrue Holiday,1,2
48,1,Rajon Rondo,1,6
49,2,Rajon Rondo,1,6
50,3,Rajon Rondo,1,6
51,4,Rajon Rondo,1,6
52,5,Rajon Rondo,1,6
53,6,Rajon Rondo,1,6
54,7,Rajon Rondo,1,6
55,8,Rajon Rondo,1,6
56,9,Rajon Rondo,1,6
57,10,Rajon Rondo,1,6
58,11,Rajon Rondo,0,6
59,12,Rajon Rondo,0,6
60,13,Rajon Rondo,0,6
61,14,Rajon Rondo,0,6
62,15,Rajon Rondo,0,6
63,16,Rajon Rondo,0,6
64,17,Rajon Rondo,0,6
65,18,Rajon Rondo,1,6
66,19,Rajon Rondo,1,6
67,20,Rajon Rondo,1,6
68,21,Rajon Rondo,1,6
69,22,Rajon Rondo,1,6
70,23,Rajon Rondo,1,6
71,24,Rajon Rondo,1,6
72,25,Rajon Rondo,1,6
73,26,Rajon Rondo,1,6
74,27,Rajon Rondo,1,6
75,28,Rajon Rondo,1,6
76,29,Rajon Rondo,1,6
77,30,Rajon Rondo,1,6
78,31,Rajon Rondo,0,6
79,32,Rajon Rondo,0,6
80,33,Rajon Rondo,0,6
81,34,Rajon Rondo,0,6
82,35,Rajon Rondo,0,6
83,36,Rajon Rondo,0,6
84,37,Rajon Rondo,0,6
85,38,Rajon Rondo,0,6
86,39,Rajon Rondo,0,6
87,40,Rajon Rondo,0,6
88,41,Rajon Rondo,0,6
89,42,Rajon Rondo,0,6
90,43,Rajon Rondo,0,6
91,44,Rajon Rondo,0,6
92,45,Rajon Rondo,0,6
93,46,Rajon Rondo,0,6
94,47,Rajon Rondo,0,6
95,48,Rajon Rondo,0,6
96,1,Anthony Davis,1,1
97,2,Anthony Davis,1,1
98,3,Anthony Davis,1,1
99,4,Anthony Davis,1,1
100,5,Anthony Davis,1,1
101,6,Anthony Davis,1,1
102,7,Anthony Davis,1,1
103,8,Anthony Davis,1,1
104,9,Anthony Davis,1,1
105,10,Anthony Davis,1,1
106,11,Anthony Davis,0,1
107,12,Anthony Davis,0,1
108,13,Anthony Davis,0,1
109,14,Anthony Davis,0,1
110,15,Anthony Davis,0,1
111,16,Anthony Davis,0,1
112,17,Anthony Davis,0,1
113,18,Anthony Davis,1,1
114,19,Anthony Davis,1,1
115,20,Anthony Davis,1,1
116,21,Anthony Davis,1,1
117,22,Anthony Davis,1,1
118,23,Anthony Davis,1,1
119,24,Anthony Davis,1,1
120,25,Anthony Davis,1,1
121,26,Anthony Davis,1,1
122,27,Anthony Davis,1,1
123,28,Anthony Davis,1,1
124,29,Anthony Davis,1,1
125,30,Anthony Davis,1,1
126,31,Anthony Davis,1,1
127,32,Anthony Davis,1,1
128,33,Anthony Davis,1,1
129,34,Anthony Davis,1,1
130,35,Anthony Davis,1,1
131,36,Anthony Davis,1,1
132,37,Anthony Davis,1,1
133,38,Anthony Davis,1,1
134,39,Anthony Davis,1,1
135,40,Anthony Davis,1,1
136,41,Anthony Davis,1,1
137,42,Anthony Davis,1,1
138,43,Anthony Davis,1,1
139,44,Anthony Davis,1,1
140,45,Anthony Davis,1,1
141,46,Anthony Davis,1,1
142,47,Anthony Davis,1,1
143,48,Anthony Davis,1,1
144,1,Dante Cunningham,1,4
145,2,Dante Cunningham,1,4
146,3,Dante Cunningham,1,4
147,4,Dante Cunningham,1,4
148,5,Dante Cunningham,1,4
149,6,Dante Cunningham,1,4
150,7,Dante Cunningham,1,4
151,8,Dante Cunningham,1,4
152,9,Dante Cunningham,1,4
153,10,Dante Cunningham,1,4
154,11,Dante Cunningham,0,4
155,12,Dante Cunningham,0,4
156,13,Dante Cunningham,0,4
